Date,Open,High,Low,Close,Adj Close,Volume
1982-05-10,0.000000,12.125000,11.750000,11.750000,5.446559,6800
1982-05-11,0.000000,12.625000,12.375000,12.375000,5.736265,13200
1982-05-12,0.000000,12.750000,12.500000,12.500000,5.794209,6400
1982-05-13,0.000000,12.875000,12.500000,12.500000,5.794209,3000
1982-05-14,0.000000,12.875000,12.500000,12.500000,5.794209,2800
1982-05-17,0.000000,12.625000,12.375000,12.375000,5.736265,7600
1982-05-18,0.000000,12.500000,12.125000,12.125000,5.620380,6000
1982-05-19,0.000000,12.750000,12.250000,12.250000,5.678324,800
1982-05-20,0.000000,12.625000,12.375000,12.375000,5.736265,5200
1982-05-21,0.000000,12.625000,12.500000,12.500000,5.794209,6000
1982-05-24,0.000000,12.500000,12.125000,12.125000,5.620380,4600
1982-05-25,0.000000,12.625000,12.375000,12.375000,5.736265,14400
1982-05-26,0.000000,12.625000,12.375000,12.375000,5.736265,4000
1982-05-27,0.000000,12.625000,12.375000,12.375000,5.736265,4200
1982-05-28,0.000000,12.625000,12.375000,12.375000,5.736265,4400
1982-06-01,0.000000,12.625000,12.250000,12.250000,5.678324,20200
1982-06-02,0.000000,12.625000,12.250000,12.250000,5.678324,2200
1982-06-03,0.000000,12.500000,12.250000,12.250000,5.678324,25600
1982-06-04,0.000000,12.625000,12.250000,12.250000,5.678324,1200
1982-06-07,0.000000,12.750000,12.250000,12.250000,5.678324,60000
1982-06-08,0.000000,12.750000,12.375000,12.375000,5.736265,2600
1982-06-09,0.000000,12.625000,12.250000,12.250000,5.678324,2400
1982-06-10,0.000000,12.750000,12.250000,12.250000,5.678324,3400
1982-06-11,0.000000,12.625000,12.375000,12.375000,5.736265,2400
1982-06-14,12.375000,12.375000,12.375000,12.375000,5.736265,0
1982-06-15,0.000000,12.625000,12.250000,12.250000,5.678324,1400
1982-06-16,0.000000,12.625000,12.250000,12.250000,5.678324,200
1982-06-17,0.000000,12.625000,12.250000,12.250000,5.678324,9400
1982-06-18,0.000000,12.625000,12.250000,12.250000,5.678324,800
1982-06-21,12.250000,12.250000,12.250000,12.250000,5.678324,0
1982-06-22,0.000000,12.500000,12.250000,12.250000,5.678324,200
1982-06-23,0.000000,12.500000,12.125000,12.125000,5.620380,31800
1982-06-24,12.125000,12.125000,12.125000,12.125000,5.620380,0
1982-06-25,0.000000,12.500000,12.125000,12.125000,5.620380,5200
1982-06-28,0.000000,12.500000,12.125000,12.125000,5.620380,200
1982-06-29,0.000000,12.500000,12.125000,12.125000,5.620380,2800
1982-06-30,0.000000,12.500000,12.125000,12.125000,5.620380,200
1982-07-01,0.000000,12.500000,12.125000,12.125000,5.620380,200
1982-07-02,0.000000,12.500000,12.125000,12.125000,5.620380,2800
1982-07-06,0.000000,12.500000,12.125000,12.125000,5.620380,8200
1982-07-07,12.125000,12.125000,12.125000,12.125000,5.620380,0
1982-07-08,0.000000,12.500000,12.125000,12.125000,5.620380,1200
1982-07-09,0.000000,12.500000,12.375000,12.375000,5.736265,1400
1982-07-12,0.000000,12.500000,12.375000,12.375000,5.736265,600
1982-07-13,0.000000,12.500000,12.250000,12.250000,5.678324,3000
1982-07-14,12.250000,12.250000,12.250000,12.250000,5.678324,0
1982-07-15,0.000000,12.500000,12.250000,12.250000,5.678324,800
1982-07-16,0.000000,12.500000,12.250000,12.250000,5.678324,2000
1982-07-19,0.000000,12.375000,12.125000,12.125000,5.620380,400
1982-07-20,0.000000,12.250000,11.875000,11.875000,5.504494,1000
1982-07-21,0.000000,12.000000,11.625000,11.625000,5.388613,2600
1982-07-22,0.000000,12.000000,11.625000,11.625000,5.388613,5600
1982-07-23,0.000000,12.125000,11.750000,11.750000,5.446559,2000
1982-07-26,0.000000,12.125000,11.750000,11.750000,5.446559,400
1982-07-27,0.000000,12.125000,11.750000,11.750000,5.446559,800
1982-07-28,0.000000,12.125000,11.750000,11.750000,5.446559,5400
1982-07-29,0.000000,12.125000,11.750000,11.750000,5.446559,5400
1982-07-30,0.000000,12.125000,11.750000,11.750000,5.446559,400
1982-08-02,11.750000,11.750000,11.750000,11.750000,5.446559,0
1982-08-03,0.000000,12.000000,11.625000,11.625000,5.388613,2200
1982-08-04,0.000000,11.875000,11.500000,11.500000,5.330666,6200
1982-08-05,0.000000,11.500000,11.250000,11.250000,5.214787,7800
1982-08-06,0.000000,11.500000,11.125000,11.125000,5.156845,2000
1982-08-09,0.000000,11.500000,11.125000,11.125000,5.156845,600
1982-08-10,0.000000,11.375000,11.000000,11.000000,5.098905,2600
1982-08-11,0.000000,11.375000,11.000000,11.000000,5.098905,400
1982-08-12,11.000000,11.000000,11.000000,11.000000,5.098905,0
1982-08-13,0.000000,11.375000,11.000000,11.000000,5.098905,200
1982-08-16,0.000000,11.125000,10.750000,10.750000,4.983020,3400
1982-08-17,0.000000,11.625000,11.375000,11.375000,5.272727,5000
1982-08-18,0.000000,12.000000,11.750000,11.750000,5.446559,1600
1982-08-19,0.000000,11.625000,11.250000,11.250000,5.214787,7800
1982-08-20,0.000000,11.750000,11.375000,11.375000,5.272727,22000
1982-08-23,0.000000,11.750000,11.375000,11.375000,5.272727,600
1982-08-24,0.000000,11.750000,11.375000,11.375000,5.272727,800
1982-08-25,0.000000,11.625000,11.375000,11.375000,5.272727,3200
1982-08-26,0.000000,11.750000,11.375000,11.375000,5.272727,10000
1982-08-27,0.000000,11.750000,11.375000,11.375000,5.272727,12200
1982-08-30,0.000000,11.750000,11.375000,11.375000,5.272727,2000
1982-08-31,0.000000,11.625000,11.375000,11.375000,5.272727,2200
1982-09-01,0.000000,11.750000,11.375000,11.375000,5.272727,2400
1982-09-02,0.000000,11.750000,11.375000,11.375000,5.272727,3800
1982-09-03,0.000000,12.375000,12.000000,12.000000,5.562439,9600
1982-09-07,0.000000,12.375000,12.000000,12.000000,5.562439,2800
1982-09-08,0.000000,12.375000,12.000000,12.000000,5.562439,800
1982-09-09,0.000000,11.750000,11.250000,11.250000,5.214787,20800
1982-09-10,0.000000,11.625000,11.250000,11.250000,5.214787,4600
1982-09-13,0.000000,11.625000,11.250000,11.250000,5.214787,600
1982-09-14,0.000000,11.625000,11.250000,11.250000,5.214787,6000
1982-09-15,11.250000,11.250000,11.250000,11.250000,5.214787,0
1982-09-16,0.000000,11.875000,11.625000,11.625000,5.388613,4200
1982-09-17,0.000000,12.000000,11.875000,11.875000,5.504494,3800
1982-09-20,0.000000,12.125000,11.875000,11.875000,5.504494,1000
1982-09-21,0.000000,12.875000,12.500000,12.500000,5.794209,8200
1982-09-22,0.000000,13.500000,13.000000,13.000000,6.025978,17800
1982-09-23,0.000000,13.500000,13.250000,13.250000,6.141861,17600
1982-09-24,0.000000,14.000000,13.625000,13.625000,6.315683,6800
1982-09-27,0.000000,15.250000,14.875000,14.875000,6.895108,11000
1982-09-28,0.000000,15.250000,14.875000,14.875000,6.895108,36400
1982-09-29,0.000000,14.375000,14.000000,14.000000,6.489514,21600
1982-09-30,0.000000,14.250000,14.000000,14.000000,6.489514,50000
1982-10-01,0.000000,15.250000,14.875000,14.875000,6.895108,11000
1982-10-04,0.000000,15.000000,14.750000,14.750000,6.837166,2600
1982-10-05,0.000000,15.375000,15.125000,15.125000,7.010994,11800
1982-10-06,0.000000,15.750000,15.500000,15.500000,7.184820,18200
1982-10-07,0.000000,15.625000,15.375000,15.375000,7.126879,6200
1982-10-08,0.000000,15.375000,15.125000,15.125000,7.010994,8200
1982-10-11,0.000000,15.375000,15.125000,15.125000,7.010994,8600
1982-10-12,0.000000,15.000000,14.750000,14.750000,6.837166,12400
1982-10-13,0.000000,15.000000,14.750000,14.750000,6.837166,14600
1982-10-14,0.000000,15.375000,15.000000,15.000000,6.953053,19200
1982-10-15,0.000000,16.375000,16.000000,16.000000,7.416584,10800
1982-10-18,0.000000,16.750000,16.500000,16.500000,7.648353,13400
1982-10-19,0.000000,15.750000,15.500000,15.500000,7.184820,20800
1982-10-20,0.000000,16.375000,16.125000,16.125000,7.474531,18000
1982-10-21,0.000000,16.625000,16.375000,16.375000,7.590408,8000
1982-10-22,0.000000,16.625000,16.250000,16.250000,7.532469,7400
1982-10-25,0.000000,16.875000,16.500000,16.500000,7.648353,11600
1982-10-26,0.000000,17.125000,16.875000,16.875000,7.822180,35800
